Title,Domain,Year,Organization,Keywords,TRL
- AI AI ROBOT system,AI,2025,한양대학교 에리카산학협력단,"본 발명은 종래기술의 문제점을 해결하기 위한 것으로서, 본 발명의 목적은 AI 로봇과 사용자의 대화 과정이나 서비스 제공과정에서 새로운 소통 방식에 대한 사용자 경험을 창출하는데 있다. 이에 본 발명의 일 측면에 따른 로봇-로봇 간 소통하는 AI 로봇 시스템은 제1 사용자단말과 통신으로 연결되고 제1사용자 데이터를 수신받는 제1로봇; 제2 사용자단말과 통신으로 연결되고 제2사용자 데이터를 수신받는 제2로봇; 및 상기 제1 및 제2 사용자단말, 또는 제1 및 제2 로봇과 연결되고 서비스를 전체적으로 제어하는 서비스 서버;를 포함하고, 상기 서비스 서버는 제1 및 제2 사용자단말이 설정 거리 이내라고 판단되는 경우에 상기 제1로봇과 제2로봇이 근접하도록 구동명령을 전송한다.",2
AI AI memorization system,AI,2022,DONGSEO TECHNOLOGY HEADQUTERS,"The present invention relates to an AI memorization system. The system is to input data that a user learns through a smart phone application of the user, collect and store the input data in a cloud-based system in real time, and generate a problem to enable retrieval learning based on the input data in a processor to provide the problem to the user. The present invention has a great effect of having a positive influence on long-term memory of the user through repetitive retrieval learning in which unnecessary repetition is removed.",1
AI AI INFORMATION SYSTEM,AI,2023,CHANGUP UNIV CORP,"The present invention relates to an AI virtual counselor system that processes a work according to a request of a customer instead of a counselor of a call center. The system implements AI that processes a work instead of a counselor. Therefore, the system provides an AI virtual counselor who conveniently processes a work according to a request of a customer anytime, anywhere.",9
AI AI ROBOT system,AI,2025,한양대학교 에리카산학협력단,"본 발명은 종래기술의 문제점을 해결하기 위한 것으로서, 본 발명의 목적은 AI 로봇과 사용자의 대화 과정이나 서비스 제공과정에서 새로운 소통 방식에 대한 사용자 경험을 창출하는데 있다. 이에 본 발명의 일 측면에 따른 사용자 모사를 활용한 AI 로봇 시스템은 사용자를 감지하고 사용자에게 음성을 출력하는 로봇; 상기 로봇과 통신으로 연결된 서비스 서버; 및 상기 서비스 서버 또는 상기 로봇에 데이터를 전달하는 타인의 적어도 하나의 사용자단말;을 포함하고, 상기 로봇은 상기 타인의 적어도 하나의 사용자단말에서 녹음된 음성에 기반하여 같은 음성톤으로 사용자에게 음성을 출력한다.",8
AI AI Cane for the Blind,AI,2024,HONG JI AN,"본 발명은 시각 장애인들이 길을 걸을 때 앞에 정확히 무엇이 있는지 알려주며 여러 사고를 막기 위한 것이다. 시각장애인이 길을 걸을 때 돌발 상황에 대비할 수 없고 다른 사람들 중 몇몇은 저녁에 어두운 밤 길을 무서워해 이를 예방하는데 목적을 가지고 있다. 이 AI 지팡이는 인공지능 카메라, 조도센서, 발광 다이오드, 이어폰으로 구성되며 인공지능이 이미지 학습을 통해 앞에 무슨 물체가 있는지 알려주어 각종 사고 예방 효과와 어두운 저녁 빛을 밝게 내어서 길을 밝혀주어 무섭지 않게 하는 효과를 가지고 있다.",7
AI AI ROBOT system,AI,2025,한양대학교 에리카산학협력단,"본 발명은 종래기술의 문제점을 해결하기 위한 것으로서, 본 발명의 목적은 AI 로봇과 사용자의 대화 과정이나 서비스 제공과정에서 새로운 소통 방식에 대한 사용자 경험을 창출하는데 있다. 이에 본 발명의 일 측면에 따른 소통 AI 로봇 시스템은 사용자 돌봄 기능을 수행하기 위해 사용자를 감지하거나 사용자로부터 입력데이터를 수집하는 로봇; 상기 로봇과 통신으로 연결된 적어도 하나의 사용자단말; 상기 로봇과 돌봄을 받는 사용자의 사용자단말간과 상기 사용자단말과 다른 또 다른 사용자단말과의 통신을 관리하는 서비스서버;를 포함하고, 상기 서비스서버는 상기 사용자단말에서 수집된 데이터 또는 입력된 데이터를 가공하여 상기 또 다른 사용자단말에 전송한다.",4
AI AI ADVERTISING SYSTEM USING AI ROBOT FOR ADVERTISING AND AI ROBOT FOR ADVERTISING,AI,2022,TUNE MEDIA CO LTD,"A system for sending out a plurality of advertisements in an indoor shopping mall through a robot for advertising is provided. The system comprises the robot for advertising, a first camera and a server. The robot for advertising is disposed inside the indoor shopping mall and moves inside the indoor shopping mall to send out advertisements according to the order of sending out the advertisements. The first camera is configured to divide the indoor shopping mall into a plurality of zones, is disposed in each zone, collects second information about people located in the zone, and shares the second information with the robot for advertising and the server. The server includes a storage unit for storing the plurality of advertisements, a second communication module configured to receive first information and the second information, and a processor configured to process the first information and the second information and determine the order of sending out the plurality of advertisements. The server transmits the sending out order to the robot for advertising, generates a control signal for moving the robot for advertising to a target position based on the second information, and transmits the control signal to the robot for advertising. The robot for advertising displays the plurality of advertisements on the display according to the sending out order, receives the control signal, and moves in response to the control signal. The present invention can provide the customized advertisements to the people while moving in the indoor shopping mall.",7
AI AI Method and Device for providing AI study plan,AI,2022,I SCREAM EDU CO LTD,"As a preferred embodiment of the present invention, an AI learning device includes: a learning information analysis unit which analyzes learning information of a student using a learning application; a comprehension determination unit which determines the comprehension of the student based on the student's answers to learning questions corresponding to the content provided by the learning application for a predetermined period of time using the learning application; and a learning plan revision unit which revises a learning plan of the student after the predetermined period based on the learning information and the comprehension.",7
AI AI SITUATION BASED AI SMART HOME SYSTEM USING AI SWITCH AND AI LIVING INFORMATION DEVICE,AI,2022,"SK ECOPLANT CO LTD,,DASAN GNG","The present invention relates to a situation-based artificial intelligence smart home system using an AI switch and an AI life information device, capable of preventing unnecessary energy waste. According to the present invention, the smart home system includes: a server; an AI life information device; and an AI switch.",7
AI Self powered AI treadmill,AI,2020,"LEE JI WON,,KIM HYUN JI","The present invention relates to a user-powered artificial intelligence (AI) treadmill and, more specifically, to a user-powered treadmill using a piezoelectric device. According to the present invention, the treadmill comprises: a footplate enabling a user to put feet thereon; a piezoelectric device unit having a plurality of piezoelectric devices installed on the footplate of the treadmill to convert mechanical energy supplied by the user into electric energy; a power source operating the treadmill with the electric energy converted in the piezoelectric device; an AI sensor using a stride to check the user′s exercise amount and enabling the user to perform exercises based on a plan; a display unit providing an exercise video suitable for the user′s performance; and a wireless charging holder for a mobile terminal such as a smartphone. Accordingly, electricity can be produced simultaneously with the exercise on the treadmill, and thus the treadmill provides an effect of increasing motivation for an exercise.",1
AI Ai Education Untact system,AI,2025,주식회사 자영업자스토리,"본 발명은 실시간 온라인 교육을 지원하기 위한 온라인 교육 시스템 및 그 학습 지도 방법을 개시한다. 본 발명 의 온라인 교육 시스템은 학습자의 학습상태 확인을 위한 정보를 저장하는 DB서버; 온라인 교육 개시 전 학습자 단말로부터 제공받은 학습상태정보를 전처리하여 기준학습상태정보를 생성하여 상기 DB서버에 저장하고, 상기 온 라인 교육중 상기 학습자 단말로부터 제공받는 학습상태정보를 전처리하여 생성한 교육중학습상태정보를 상기 기 준학습상태정보와 비교하여 일치 여부를 판별하는 비교검출서버; 및 상기 비교검출서버로부터 불일치신호를 수신 하는 경우 상기 학습자 단말과 교육자 단말로 경고 신호를 전송하는 학습제어서버를 구비하여, 온라인 교육이 실 시되는 동안 학습자의 학습 상태를 실시간으로 모니터링하여 학습자가 학습에 불필요한 말이나 행동을 할경우 이 를 교육자에게 통지해 줌으로써 교육중 학습자의 주의를 환기시키고 학습 집중을 유도하여 교육의 효율을 높일 수 있는 탁월한 효과가 발생한다.",7
AI AI pickup support system,AI,2023,TRIPLET,"The present invention relates to an AI pickup support system for notifying customers of pickup readiness at food and beverage outlets. In the AI pickup support system, an order information transmission device receives customer order information through POS or POS and transmits the same to an AI pickup bar device. The AI pickup bar device determines the size and number of ordered products when order information is transmitted from the order information transmission device to the AI pickup bar device, and determines the location and size of the product on the pickup bar based on the pickup bar image received from the camera.",9
AI D AI Dtrash can,AI,2021,HWANG DAE YOUNG,"An AI D-trash bin detects, automatically separates and collects garbage and separates the garbage into a separate bin. The artificial intelligence trash bin separates and collects the garbage that cannot be separated, thereby increasing the efficiency of separate collection. Thanks to the present invention, the effort of separate collection was reduced and the capacity of the trash bin was increased by compression, thereby increasing the efficiency of the trash bin. The present invention includes a weight detecting sensor.",7
AI AI Acoustic Image Camera,AI,2022,SM INSTR CO LTD,"The present invention relates to an AI sound image camera that is characterized in being configured by comprising: a sound source localizing means part that identifies a location of a sound source and generates the sound level data for each location; an artificial intelligence sound analysis part that extracts a time-domain sound signal for a sound source in which a location is identified, and recognizes a type of sound source estimated to be an abnormal sound source by artificial intelligence learning and recognizing a sound feature image of the extracted time-domain sound signal; an object recognition part that recognizes a type of object at a sound source location through an image analysis of an area recognized as being where the sound source is located; and a determination part that determines the type of sound source and the type of object, when having commonality, as a true sound source.",9
AI prompter AI assistant system,AI,2024,KOREA INT BROADCASTING FOUNDATION,"The present invention aims to provide a prompt AI assistant system capable of optimally controlling the script playback speed and manually switching operation when an AI prompt function problem occurs, thereby solving the above problems. The present invention relates to a smart prompt stand comprising: a stand body; an upper height adjustment bar; a rotation handle; a script playback panel; a manual script playback speed controller; and a controller provided to control the manual script playback speed controller.",1
AI Metaverse AI Gallery System,AI,2023,"KIM TAE LIM,,JANG WON JAE,,LEE JAE HO,,KIM HAK KYUNG","The present invention relates to a metaverse gallery system, that is characterized in enabling a metaverse gallery to be managed by AI. In addition, the AI relates to enabling a work of an artist to be produced as a learning model, thereby enabling the present invention to produce and manage the work, by the AI, that has a remarkable effect of enabling players to enjoy a gallery much more effectively and enabling the artist to sell more of his/her works. The present invention is the metaverse AI gallery system that is characterized in constructing and managing a gallery within the metaverse by the AI.",4
AI AI IMAGE ANALYSIS SYSTEM,AI,2024,E2ON CO LTD,"본 발명은 대규모 인구 밀집 지역에서 발생할 수 있는 다양한 안전사고와 이상 상황을 감지하고 예측하는데 적용되는 AI 기반 영상 분석 시스템에 관한 것으로서, 보다 상세하게는, 설정된 상시 촬영 구역을 촬영하는 적어도 하나의 촬영수단; 상기 촬영수단을 통해 취득된 영상 데이터로부터 이벤트 발생을 감지하고, 감지된 결과를 통해 위험 상황을 분석하고 예측하는 영상 분석 처리부; 및 상기 촬영수단을 통해 촬영된 영상이 표시되는 복수 개의 모니터가 배치되며, 상기 영상 분석 처리부를 통해 위험 상황이 예측되면 경고 알람을 발생시키고, 위험 상황과 연계되는 유관기관에 위험 상황 메시지를 전달하는 통합관제부를 포함하는 AI 기반 영상 분석 시스템에 관한 것이다.",2
AI AI Curator System for Children,AI,2024,ROPIK ONE TECH LC,"본 발명은 어린이 맞춤형 AI큐레이터 시스템에 관한 것으로, 더욱 상세하게는 유저의 신체정보가 측정되고, 측정된 신체정보가 분석되어 유저가 어린이에 접합되는지 분석되며, 어린이에 적합될 시 분석된 연령층에 따라 컨텐츠가 제공되고, 제공된 컨텐츠가 이용되고 유저에게 제공된 컨텐츠가 평가되는 어린이 맞춤형 AI큐레이터 시스템에 관한 것이다. 이러한 본 발명은 유저의 신체정보가 측정 및 분석되는 기록단계; 상기 기록단계에서 측정 및 분석된 데이터가 참조되어 컨텐츠가 제공되는 컨텐츠제공단계; 상기 컨텐츠제공단계에서 제공된 컨텐츠가 이용되는 컨텐츠이용단계; 및 상기 컨텐츠이용단계에서 이용된 컨텐츠가 평가되는 평가단계;로 구성되는 것을 기술적 요지로 한다.",6
AI Ordering system using AI,AI,2021,"UNIV TONGMYONG IND ACAD COOP FOUND,,DOUL INFORMATION TECH CO LTD","The present invention relates to an ordering system using AI. The system includes a service server and a user terminal utilizing a service platform provided by the service server, connected to the service server such that mutual data communication is possible via a communication network, and including an orderer terminal and an orderee terminal. The service server includes: an order reception/ordering management module for order reception and ordering information management between an orderer and an orderee; a safety inventory management module performing inventory calculation and measurement in order to manage an adequate inventory of the orderer; and a shipment management module managing information related to shipment such as orderee delivery status. According to the present invention, when a user inputs ordering information and an order is placed, the intelligent ordering system transmits an ordering order following a reference to an orderee producing the component. As a result, work efficiency can be ensured.",8
AI AI Acoustic Image Camera,AI,2023,"SM INSTR CO LTD,,KOREA GAS TECH CORPORATION","The present invention relates to an AI sound camera for monitoring gas facilities, comprising: a sound source localizing means unit which measures sound along with video to generate sound level data for each location; an artificial intelligence sound analysis unit which extracts a regenerative time-domain sound signal for a located sound source and recognizes the type of sound source presumed to be an abnormal sound source by artificial intelligence learning and recognizing the sound feature image of the extracted time-domain sound signal; an object recognition unit which recognizes the type of object at the location of the sound source through image analysis of the area recognized as where the sound source is located; and a judgment unit which determines the gas leak sound generation point (abnormal sound source) when the type of sound source is a gas leak sound and the type of object is a gas facility, and both have something in common. Accordingly, the present invention can determine the point at which the gas leak sound occurs.",8
AI AI Order Response System,AI,2025,JUNG EN YOOL,"본 발명은 전화 주문을 자동으로 처리하는 AI 시스템에 관한 것이다. 고객이 매장으로 전화를 걸면, AI가 사장님의 목소리를 기반으로 음성 응답을 제공하여 주문을 접수한다. 고객은 메뉴, 수량, 주문 방식(배달, 포장, 내점), 결제방법(카드, 현금/지역상품권, 계좌이체)을 선택할 수 있으며, 배달 주소가 유효한지 판단 후 포스기와 연동하여 사장이 예상 시간을 입력하고 주문을 확정 한다. 본 시스템은 인건비 절감, 고객 편의 향상, 운영 효율 증대를 기대할 수 있다.",6
AI AI questionnaire management system,AI,2024,PEOPLES HEALTH CO LTD,"본 발명은 환자에게 제공되는 문진내용을 질병의 위치 및 진행 정도와 같은 특징에 따라 진단명을 재분류하고, 이를 예측하는 다중 레이블 분류 모델로 제공하여 진료과를 안내해주는 AI 문진 관리 시스템에 관한 것이다. 본 발명에 따른 AI 문진 관리 시스템은, 질병의 위치 및 진행 정도와 같은 특징에 따라 진단명을 재분류하고, 진료분야에 따라 질문항목, 예상 답변항목, 전체 답변항목, 예상 진료과항목, 예상 질환항목 등에 대한 문진내용을 계층적으로 연결된 다중 레이블 분류(Multi-label Classification) 방식으로 작성하고 문진내용DB에 저장하는 문진내용 관리부(102)와; 분야별로 문진내용을 고도화하는 고도화 전문의, 문진내용을 평가하는 평가 전문의, 문진내용의 사용을 판단하는 사용판단 전문의를 등록하고, 문진내용에 대한 작성, 평가 및 사용여부를 판단하는 문진내용 평가부(104)와; 문진 이후에 환자를 진료하는 전문의에 대한 정보를 등록받아 문진내용의 예상 진료과에 매칭시키는 전문의 등록부(106)와; 접속된 환자에게 문진내용을 제공하는 문진내용 제공부(108)와; 환자로부터 문진내용에 대응되는 답변내용이 수신되면 답변내용을 분석하여 매칭되는 예상 답변내용을 확인하는 문진 답변내용 분석부(110)와; 환자로부터 수신된 답변내용에 대응되는 예상 답변내용이 확인되면 예상 답변내용에 계층적으로 연결된 하위 문진내용이 포함되어 있으면 하위 문진내용을 환자에게 제공하는 추가 문진내용 제공부(112)와; 환자로부터 수신된 답변내용에 대응되는 예상 답변내용이 확인되면 예상 답변내용에 매칭되어 있는 예상 진료과를 확인하고 환자에게 표시하는 예상 진료과 확인부(114)와; 예상 진료과 확인부(114)에 의해서 최종 문진내용에 대한 예상 진료과가 확인되면 예상 진료과에 매칭되어 등록되어 있으며 실시간으로 진료가능한 전문의에 대한 정보를 환자에게 표시하는 진료가능 전문의 표시부(116)와; 환자가 실시간으로 진료가능한 전문의를 선택하면 환자와 선택된 전문의가 온라인으로 진료할 수 있도록 진료창을 제공하고, 환자가 작성한 문진내용을 전문의의 진료창으로 함께 제공하는 실시간 진료 관리부(118);를 포함하는 것을 특징으로 한다.",1
AI AI THE AI MODEL EVALUATION SYSTEM AND THE METHOD THEREOF FOR EVALUATING TO BE HUMAN OF THE AI MODEL,AI,2023,SMILEGATE ENTERTAINMENT INC,"The present invention relates to an AI model evaluation system and method. The system conducts a conversation with the AI model and quantitatively evaluates and scores whether the AI model carries out a human-like conversation based on evaluation items from the conducted conversation. Therefore, it is possible to numerically evaluate the humanness of the AI model.",2
AI SMART AI SENSOR LIGHT,AI,2022,LEE JOON HYEONG,센서등을 이용한 인공지능 스피커 제어에 관함 것임.,5
TruthGuard AI TruthGuard AI System,AI,2025,JOO DONG SUNG,"본 발명은 AI가 생성한 영상 및 오디오 콘텐츠의 진위를 판단하는 시스템에 관한 것으로, 영상 프레임 분석기, 생성모델 판별기, AI 학습데이터 매핑기, 법적 기록 저장기 및 모듈형 API 구조를 포함하여 다양한 산업에 적용 가능하며, 콘텐츠의 조작 여부와 생성 출처를 정량적으로 판단하고, 증거 기록과 외부 연동을 지원한다.",5
AI AI Studio for Online Lectures,AI,2022,WISEUP CO LTD,"본 발명은 온라인 강의를 위한 AI 스튜디오에 관한 것으로서, 더욱 상세하게는 온라인 강의를 진행하는 촬영대상자를 촬영한 영상을 처리장치부에서 촬영대상자와 배경을 분리하여 가상의 스튜디오를 제공하며, 가상의 스튜디오에 출력하는 출력물의 크기 및 위치를 제어단말부를 통하여 조절 가능한 온라인 강의를 위한 AI 스튜디오에 관한 것이다.",7
AI flash AI greenhouse cleaner,AI,2022,YU SI DAE,"The present invention relates to a flashing AI greenhouse cleaner. According to the present invention, a problem that only a short distance can be cleaned during existing greenhouse cleaning, and long distance cannot be cleaned is solved. That is, the flashing AI greenhouse cleaner of the present invention comprises: a water tank; a compressor; a valve; a rail; a control device; and a nozzle.",7
AI MODEL PROTECTION FOR AI PCS,AI,2025,INTEL CORP,"One embodiment provides a graphics processor comprising a base die including a plurality of chiplet sockets and a plurality of chiplets coupled with the plurality of chiplet sockets. At least one of the plurality of chiplets include a graphics processing cluster including a plurality of processing resources. The plurality of processing resources including a matrix accelerator having circuitry to perform operations for a neural network in which model topology and weights of the neural network are encrypted. The matrix accelerator configured to execute commands of a command buffer, the commands generated based on a decomposition of the model topology of the neural network and access encrypted weights in memory of the graphics processor via circuitry configured to decrypt the encrypted weights via a key that is programmed to the hardware of the circuitry.",3
